date,start_time,end_time,class_type,class_name,professor_name,grade,label,class_code,major
월,09:00,10:15,전공필수(04),Critical Reading and Writing 2,Todd Christopher Mcgowan,,ELC,ELC204-00,"영미어문전공, 영미문화전공"
수,09:00,10:15,전공필수(04),Critical Reading and Writing 2,Todd Christopher Mcgowan,,ELC,ELC204-00,"영미어문전공, 영미문화전공"
화,09:00,10:15,전공필수(04),Critical Reading and Writing 2,Todd Christopher Mcgowan,,ELC,ELC204-01,"영미어문전공, 영미문화전공"
목,09:00,10:15,전공필수(04),Critical Reading and Writing 2,Todd Christopher Mcgowan,,ELC,ELC204-01,"영미어문전공, 영미문화전공"
화,12:00,13:15,전공필수(04),Speech and Discussion 2,Peggy Cho,,ELC,ELC203-00,"영미어문전공, 영미문화전공"
목,12:00,13:15,전공필수(04),Speech and Discussion 2,Peggy Cho,,ELC,ELC203-00,"영미어문전공, 영미문화전공"
금,13:30,16:15,전공필수(04),Speech and Discussion 2,Peggy Cho,,ELC,ELC203-01,"영미어문전공, 영미문화전공"
금,09:00,11:45,전공필수(04),문화연구입문,심효원,,ELC,ELC202-00,"영미어문전공, 영미문화전공"
화,09:00,10:15,전공필수(04),영문학입문,김상욱,,ELC,ELC201-00,"영미어문전공, 영미문화전공"
목,09:00,10:15,전공필수(04),영문학입문,김상욱,,ELC,ELC201-00,"영미어문전공, 영미문화전공"
월,09:00,10:15,전공필수(04),영어학입문,윤재학,,ELC,ELC205-00,"영미어문전공, 영미문화전공"
수,09:00,10:15,전공필수(04),영어학입문,윤재학,,ELC,ELC205-00,"영미어문전공, 영미문화전공"
화,09:00,10:15,전공필수(04),영어학입문,이한규,,ELC,ELC205-01,"영미어문전공, 영미문화전공"
목,09:00,10:15,전공필수(04),영어학입문,이한규,,ELC,ELC205-01,"영미어문전공, 영미문화전공"
월,15:00,16:15,전공선택(05),Critical Reading and Writing 1,Todd Christopher Mcgowan,,ELC,ELC103-00,"영미어문전공, 영미문화전공"
수,15:00,16:15,전공선택(05),Critical Reading and Writing 1,Todd Christopher Mcgowan,,ELC,ELC103-00,"영미어문전공, 영미문화전공"
화,13:30,14:45,전공선택(05),Critical Reading and Writing 1,Todd Christopher Mcgowan,,ELC,ELC103-01,"영미어문전공, 영미문화전공"
목,13:30,14:45,전공선택(05),Critical Reading and Writing 1,Todd Christopher Mcgowan,,ELC,ELC103-01,"영미어문전공, 영미문화전공"
월,13:30,14:45,전공선택(05),Speech and Discussion 1,Todd Christopher Mcgowan,,ELC,ELC104-00,"영미어문전공, 영미문화전공"
수,13:30,14:45,전공선택(05),Speech and Discussion 1,Todd Christopher Mcgowan,,ELC,ELC104-00,"영미어문전공, 영미문화전공"
화,10:30,11:45,전공선택(05),Speech and Discussion 1,Peggy Cho,,ELC,ELC104-01,"영미어문전공, 영미문화전공"
목,10:30,11:45,전공선택(05),Speech and Discussion 1,Peggy Cho,,ELC,ELC104-01,"영미어문전공, 영미문화전공"
금,09:00,11:45,전공선택(05),비즈니스커뮤니케이션2,Peggy Cho,,ELC,ELC481-00,"영미어문전공, 영미문화전공"
화,10:30,11:45,전공선택(05),언어와사회,이한규,,ELC,ELC311-00,"영미어문전공, 영미문화전공"
목,10:25,11:45,전공선택(05),언어와사회,이한규,,ELC,ELC311-00,"영미어문전공, 영미문화전공"
월,16:30,17:45,전공기초(11),미국역사와문화,신명아,,ELC,ELC106-00,"영미어문전공, 영미문화전공"
수,16:30,17:45,전공기초(11),미국역사와문화,신명아,,ELC,ELC106-00,"영미어문전공, 영미문화전공"
화,16:30,17:45,전공기초(11),비즈니스커뮤니케이션1,최종갑,,ELC,ELC381-00,"영미어문전공, 영미문화전공"
목,16:30,17:45,전공기초(11),비즈니스커뮤니케이션1,최종갑,,ELC,ELC381-00,"영미어문전공, 영미문화전공"
금,13:30,16:15,전공기초(11),실용영문법,강희연,,ELC,ELC101-00,"영미어문전공, 영미문화전공"
월,10:30,11:45,전공기초(11),영국역사와문화,김상욱,,ELC,ELC105-00,"영미어문전공, 영미문화전공"
수,10:30,11:45,전공기초(11),영국역사와문화,김상욱,,ELC,ELC105-00,"영미어문전공, 영미문화전공"
월,12:00,13:15,전공선택(05),SF와판타지,신명아,,ELC,ELC337-00,"영미어문전공, 영미문화전공"
수,12:00,13:15,전공선택(05),SF와판타지,신명아,,ELC,ELC337-00,"영미어문전공, 영미문화전공"
월,15:00,16:15,전공선택(05),미국소설,신명아,,ELC,ELC238-00,"영미어문전공, 영미문화전공"
수,15:00,16:15,전공선택(05),미국소설,신명아,,ELC,ELC238-00,"영미어문전공, 영미문화전공"
화,15:00,16:15,전공선택(05),어문프로젝트(캡스톤디자인),이상민,,ELC,ELC410-00,"영미어문전공, 영미문화전공"
목,15:00,16:15,전공선택(05),어문프로젝트(캡스톤디자인),이상민,,ELC,ELC410-00,"영미어문전공, 영미문화전공"
금,15:00,17:45,전공선택(05),영미드라마,전선재,,ELC,ELC344-00,"영미어문전공, 영미문화전공"
금,09:00,11:45,전공선택(05),영어교육과정과평가,강희연,,ELC,ELC374-00,"영미어문전공, 영미문화전공"
금,13:30,16:15,전공선택(05),영어학에세이,이민상,,ELC,ELC302-00,"영미어문전공, 영미문화전공"
화,12:00,13:15,전공선택(05),테크놀로지와디지털콘텐츠,이상민,,ELC,ELC471-00,"영미어문전공, 영미문화전공"
목,12:00,13:15,전공선택(05),테크놀로지와디지털콘텐츠,이상민,,ELC,ELC471-00,"영미어문전공, 영미문화전공"
월,12:00,13:15,전공선택(05),현대영문법,윤재학,,ELC,ELC301-00,"영미어문전공, 영미문화전공"
수,12:00,13:15,전공선택(05),현대영문법,윤재학,,ELC,ELC301-00,"영미어문전공, 영미문화전공"
월,13:30,14:45,교직전선(20),교과교육론(영어),성기완,,EDU,EDU3121-G00,교직
수,13:30,14:45,교직전선(20),교과교육론(영어),성기완,,EDU,EDU3121-G00,교직
금,10:30,13:15,전공선택(05),담화와문법,이건희,1,KO,KO1403-00,한국어학과
월,15:00,16:15,전공선택(05),담화와어휘,임우열,1,KO,KO1402-00,한국어학과
수,15:00,16:15,전공선택(05),담화와어휘,임우열,1,KO,KO1402-00,한국어학과
월,12:00,13:15,전공선택(05),외국어습득론,남주연,3,KO,KO3106-00,한국어학과
수,12:00,13:15,전공선택(05),외국어습득론,남주연,3,KO,KO3106-00,한국어학과
월,16:30,17:45,전공선택(05),한국대중문화,이철주,4,KO,KO4201-00,한국어학과
수,16:30,17:45,전공선택(05),한국대중문화,이철주,4,KO,KO4201-00,한국어학과
화,12:00,13:15,전공선택(05),한국문화교육론,이선이,3,KO,KO3202-00,한국어학과
목,12:00,13:15,전공선택(05),한국문화교육론,이선이,3,KO,KO3202-00,한국어학과
화,10:30,11:45,전공선택(05),한국민속문화,이경민,1,KO,KO1202-00,한국어학과
목,10:30,11:45,전공선택(05),한국민속문화,이경민,1,KO,KO1202-00,한국어학과
목,09:00,11:45,전공선택(05),한국어교육실습,성아영,4,KO,KO4105-00,한국어학과
금,18:00,19:15,전공선택(05),한국어교육실습,성아영,4,KO,KO4105-00,한국어학과
화,15:00,16:15,전공선택(05),한국어담화교육론,김정남,3,KO,KO3102-00,한국어학과
목,15:00,16:15,전공선택(05),한국어담화교육론,김정남,3,KO,KO3102-00,한국어학과
월,10:30,11:45,전공선택(05),한국어말하기쓰기교육법,남주연,3,KO,KO3103-00,한국어학과
수,10:30,11:45,전공선택(05),한국어말하기쓰기교육법,남주연,3,KO,KO3103-00,한국어학과
월,15:00,16:15,전공선택(05),한국어문법교육론,박동호,2,KO,KO2104-00,한국어학과
수,15:00,16:15,전공선택(05),한국어문법교육론,박동호,2,KO,KO2104-00,한국어학과
월,09:00,10:15,전공선택(05),한국어어휘교육론,이선웅,2,KO,KO2105-00,한국어학과
수,09:00,10:15,전공선택(05),한국어어휘교육론,이선웅,2,KO,KO2105-00,한국어학과
월,10:30,11:45,전공선택(05),한국어학개론,이선웅,1,KO,KO1102-00,한국어학과
수,10:30,11:45,전공선택(05),한국어학개론,이선웅,1,KO,KO1102-00,한국어학과
화,10:30,11:45,전공선택(05),한국어형태음운론,김정남,2,KO,KO2102-00,한국어학과
목,10:30,11:45,전공선택(05),한국어형태음운론,김정남,2,KO,KO2102-00,한국어학과
금,10:30,13:15,전공선택(05),한국언어문화캡스톤디자인,이선웅,4,KO,KO4304-00,한국어학과
화,16:30,17:45,전공선택(05),한국영화읽기,이철주,2,KO,KO2501-00,한국어학과
목,16:30,17:45,전공선택(05),한국영화읽기,이철주,2,KO,KO2501-00,한국어학과
화,09:00,10:15,전공선택(05),한국전통문화,이경민,2,KO,KO2201-00,한국어학과
목,09:00,10:15,전공선택(05),한국전통문화,이경민,2,KO,KO2201-00,한국어학과
월,12:00,13:15,전공기초(11),언어의이해,임우열,1,KO,KO1101-00,한국어학과
수,12:00,13:15,전공기초(11),언어의이해,임우열,1,KO,KO1101-00,한국어학과
